species,wsg,source_short,country,site,type_tissue,location_sample,type_forest,experiment_design,rank_taxonomic
Anadenanthera colubrina,0.75,Altamirano & Rico 1992,Bolivia,,,,,,species
Schizolobium parahyba,0.34,Altamirano & Rico 1992,Bolivia,,,,,,species
Aspidosperma polyneuron,0.74,Alvarez et al. 2013,Colombia,Costa_Caribe_Colombia,,,tropical dry,,species
Hymenaea courbaril,0.83,Alvarez et al. 2013,Colombia,Costa_Caribe_Colombia,,,tropical dry,,species
Schizolobium parahyba,0.42,Alvarez et al. 2013,Colombia,Costa_Caribe_Colombia,,,tropical dry,,species
Copaifera langsdorffii,0.6,Amaro et al. 2013,Brazil,,sapwood/heartwood,bole,,,species
Piptadenia gonoacantha,0.56,Amaro et al. 2013,Brazil,,sapwood/heartwood,bole,,,species
Psidium guajava,0.55,Anonymous 1974 (Nomenclature Burma),Myanmar,,,,,,species
Dipteryx alata,0.9,Anonymous 1979 (Amazonia Colombiana),Colombia,,,,,,species
Myroxylon peruiferum,0.75,Anonymous 1979 (Amazonia Colombiana),Colombia,,,,,,species
Psidium guajava,0.6,Anonymous 1981,Indonesia,,,,,,species
Aloysia virgata,0.58,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Anadenanthera colubrina,0.52,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Aspidosperma polyneuron,0.71,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Cedrela fissilis,0.35,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Ceiba speciosa,0.19,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Citharexylum myrianthum,0.36,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Croton floribundus,0.42,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Enterolobium contortisiliquum,0.38,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Luehea divaricata,0.43,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Parapiptadenia rigida,0.61,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Peltophorum dubium,0.49,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Piptadenia gonoacantha,0.56,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Poecilanthe parviflora,0.73,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Pterogyne nitens,0.65,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Schinus terebinthifolia,0.43,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Senegalia polyphylla,0.57,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Zeyheria tuberculosa,0.58,Arcanjo et al. 2016,Brazil,,sapwood/heartwood,bole,,,species
Psidium guajava,0.55,Benthall 1984,India,,,,,,species
Senegalia polyphylla,0.65,CIRAD Xylotheque,,,,,,,species
Senegalia polyphylla,0.7,CIRAD Xylotheque,Paraguay,,,,,,species
Senegalia polyphylla,0.47,CIRAD Xylotheque,Peru,,,,,,species
Anadenanthera colubrina,0.81,CIRAD Xylotheque,Argentina,,,,,,species
Anadenanthera colubrina,0.77,CIRAD Xylotheque,Bolivia,,,,,,species
Anadenanthera colubrina,0.79,CIRAD Xylotheque,Paraguay,,,,,,species
Aspidosperma polyneuron,0.63,CIRAD Xylotheque,Argentina,,,,,,species
Aspidosperma polyneuron,0.73,CIRAD Xylotheque,Brazil,,,,,,species
Aspidosperma polyneuron,0.61,CIRAD Xylotheque,Brazil,,,,,,species
Aspidosperma polyneuron,0.48,CIRAD Xylotheque,Brazil,,,,,,species
Aspidosperma polyneuron,0.68,CIRAD Xylotheque,Paraguay,,,,,,species
Cedrela fissilis,0.36,CIRAD Xylotheque,Bolivia,,,,,,species
Cedrela fissilis,0.38,CIRAD Xylotheque,Ecuador,,,,,,species
Cedrela fissilis,0.41,CIRAD Xylotheque,Paraguay,,,,,,species
Cedrela fissilis,0.37,CIRAD Xylotheque,Paraguay,,,,,,species
Cedrela fissilis,0.32,CIRAD Xylotheque,Peru,,,,,,species
Copaifera langsdorffii,0.62,CIRAD Xylotheque,Bolivia,,,,,,species
Copaifera langsdorffii,0.55,CIRAD Xylotheque,Brazil,,,,,,species
Copaifera langsdorffii,0.59,CIRAD Xylotheque,Brazil,,,,,,species
Copaifera langsdorffii,0.73,CIRAD Xylotheque,Paraguay,,,,,,species
Croton floribundus,0.38,CIRAD Xylotheque,Paraguay,,,,,,species
Dipteryx alata,0.72,CIRAD Xylotheque,Bolivia,,,,,,species
Dipteryx alata,0.8,CIRAD Xylotheque,Peru,,,,,,species
Enterolobium contortisiliquum,0.37,CIRAD Xylotheque,Argentina,,,,,,species
Enterolobium contortisiliquum,0.41,CIRAD Xylotheque,Bolivia,,,,,,species
Hymenaea courbaril,0.75,CIRAD Xylotheque,French West Indies,,,,,,species
Hymenaea courbaril,0.71,CIRAD Xylotheque,Guatemala,,,,,,species
Hymenaea courbaril,0.74,CIRAD Xylotheque,Guyana,,,,,,species
Hymenaea courbaril,0.7,CIRAD Xylotheque,French Guiana,,,,,,species
Hymenaea courbaril,0.75,CIRAD Xylotheque,French Guiana,,,,,,species
Hymenaea courbaril,0.78,CIRAD Xylotheque,Peru,,,,,,species
Hymenaea courbaril,0.75,CIRAD Xylotheque,Suriname,,,,,,species
Hymenaea courbaril,0.65,CIRAD Xylotheque,Brazil,,,,,,species
Luehea divaricata,0.46,CIRAD Xylotheque,Argentina,,,,,,species
Machaerium brasiliense,0.61,CIRAD Xylotheque,Argentina,,,,,,species
Machaerium hirtum,0.37,CIRAD Xylotheque,Bolivia,,,,,,species
Myroxylon peruiferum,0.82,CIRAD Xylotheque,Argentina,,,,,,species
Myroxylon peruiferum,0.71,CIRAD Xylotheque,Ecuador,,,,,,species
Parapiptadenia rigida,0.77,CIRAD Xylotheque,Argentina,,,,,,species
Parapiptadenia rigida,0.66,CIRAD Xylotheque,Paraguay,,,,,,species
Parapiptadenia rigida,0.8,CIRAD Xylotheque,Paraguay,,,,,,species
Parapiptadenia rigida,0.8,CIRAD Xylotheque,Paraguay,,,,,,species
Hymenaea courbaril,0.77,CIRAD Xylotheque,Bolivia,,,,,,species
Hymenaea courbaril,0.75,CIRAD Xylotheque,Brazil,,,,,,species
Peltophorum dubium,0.83,CIRAD Xylotheque,Argentina,,,,,,species
Peltophorum dubium,0.62,CIRAD Xylotheque,Argentina,,,,,,species
Peltophorum dubium,0.66,CIRAD Xylotheque,Argentina,,,,,,species
Peltophorum dubium,0.69,CIRAD Xylotheque,Paraguay,,,,,,species
Peltophorum dubium,0.72,CIRAD Xylotheque,Paraguay,,,,,,species
Psidium guajava,0.64,CIRAD Xylotheque,Angola,,,,,,species
Psidium guajava,0.58,CIRAD Xylotheque,French West Indies,,,,,,species
Psidium guajava,0.62,CIRAD Xylotheque,Cote d'Ivoire,,,,,,species
Psidium guajava,0.78,CIRAD Xylotheque,New Caledonia,,,,,,species
Psidium guajava,0.56,CIRAD Xylotheque,Panama,,,,,,species
Psidium guajava,0.59,CIRAD Xylotheque,French Polynesia,,,,,,species
Psidium guajava,0.65,CIRAD Xylotheque,Senegal,,,,,,species
Pterogyne nitens,0.6,CIRAD Xylotheque,Argentina,,,,,,species
Pterogyne nitens,0.66,CIRAD Xylotheque,Bolivia,,,,,,species
Pterogyne nitens,0.75,CIRAD Xylotheque,Brazil,,,,,,species
Pterogyne nitens,0.68,CIRAD Xylotheque,Paraguay,,,,,,species
Schinus terebinthifolia,0.56,CIRAD Xylotheque,Portugal,,,,,,species
Schizolobium parahyba,0.23,CIRAD Xylotheque,Guatemala,,,,,,species
Schizolobium parahyba,0.26,CIRAD Xylotheque,Mexico,,,,,,species
Schizolobium parahyba,0.28,CIRAD Xylotheque,Nicaragua,,,,,,species
Schizolobium parahyba,0.32,CIRAD Xylotheque,Peru,,,,,,species
Zeyheria tuberculosa,0.75,CIRAD Xylotheque,Bolivia,,,,,,species
Anadenanthera colubrina,0.68,Cartuche Peralta 2022,Ecuador,,,,,,species
Schizolobium parahyba,0.4,Cartuche Peralta 2022,Ecuador,,,,,,species
Hymenaea courbaril,0.84,Casas et al. 2017,Colombia,"6.019,-74.206",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,0.88,Casas et al. 2017,Colombia,"6.046,-74.268",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,0.9,Casas et al. 2017,Colombia,"6.046,-74.268",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,0.98,Casas et al. 2017,Colombia,"6.046,-74.268",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,0.99,Casas et al. 2017,Colombia,"6.019,-74.206",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,1.04,Casas et al. 2017,Colombia,"6.019,-74.206",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,1.06,Casas et al. 2017,Colombia,"6.019,-74.206",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.39,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.46,Casas et al. 2017,Colombia,"6.685,-74.139",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.55,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.59,Casas et al. 2017,Colombia,"6.682,-74.157",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.59,Casas et al. 2017,Colombia,"6.682,-74.157",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.6,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.62,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.63,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Senegalia polyphylla,0.66,Casas et al. 2017,Colombia,"6.682,-74.157",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.68,Casas et al. 2017,Colombia,"6.685,-74.139",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.68,Casas et al. 2017,Colombia,"6.685,-74.139",sapwood/heartwood,,Varzea,,species
Senegalia polyphylla,0.69,Casas et al. 2017,Colombia,"3.582,-73.71",sapwood/heartwood,,TerraFirme,,species
Hymenaea courbaril,0.76,Chudnoff 1984,,,,,,,species
Luehea divaricata,0.48,Costa et al. 2014,Brazil,"Fazenda Campo Lindo, Itumirim, MG",,bole,,,species
Schinus terebinthifolia,0.56,Crivellaro and Schweingruber 2013,Cyprus,Cyprus,sapwood/heartwood,bole,,,species
Hymenaea courbaril,0.88,Cunha et al. 1989,Brazil,,,,,,species
Piptadenia gonoacantha,0.59,Damásio et al. 2013,Brazil,"Mata da Silvicultura, Viçosa, MG, Brazil (-20.767981, -42.875657)",,bole,,,species
Aspidosperma polyneuron,0.56,Dimitri & Biloni 1973,Argentina,,,,,,species
Cedrela fissilis,0.46,Dimitri & Biloni 1973,Argentina,,,,,,species
Ceiba speciosa,0.22,Dimitri & Biloni 1973,Argentina,,,,,,species
Enterolobium contortisiliquum,0.28,Dimitri & Biloni 1973,Argentina,,,,,,species
Luehea divaricata,0.5,Dimitri & Biloni 1973,Argentina,,,,,,species
Myroxylon peruiferum,0.8,Dimitri & Biloni 1973,Argentina,,,,,,species
Peltophorum dubium,0.75,Dimitri & Biloni 1973,Argentina,,,,,,species
Parapiptadenia rigida,0.81,Dimitri & Biloni 1973,Argentina,,,,,,species
Hymenaea courbaril,0.6,Djoen Seng 1951 (1990),Indonesia,,,,,,species
Anadenanthera colubrina,0.88,Easdale (unpublished data),,,,,,,species
Urera baccifera,0.16,Easdale (unpublished data),,,,,,,species
Hymenaea courbaril,0.8,Ferraz et al. 2004,Brazil,,,,,,species
Hymenaea courbaril,1,Ferraz et al. 2004,Brazil,,,,,,species
Dipteryx alata,0.94,França 2002,Brazil,"Sena Madureira, Acre, Brazil",,,,,species
Schizolobium parahyba,0.43,França 2002,Brazil,"Sena Madureira, Acre, Brazil",,,,,species
Hymenaea courbaril,0.71,Freyburger et al. 2009,,,,,,Validation of the use of X-ray computed tomography to measure wood density,species
Hymenaea courbaril,0.65,Gazel 1983,French Guiana,,,,,,species
Anadenanthera colubrina,0.81,Gimenez & Moglia 2003,Argentina,,,,,,species
Ceiba speciosa,0.22,Gimenez & Moglia 2003,Argentina,,,,,,species
Enterolobium contortisiliquum,0.32,Gimenez & Moglia 2003,Argentina,,,,,,species
Luehea divaricata,0.51,Gimenez & Moglia 2003,Argentina,,,,,,species
Peltophorum dubium,0.74,Gimenez & Moglia 2003,Argentina,,,,,,species
Pterogyne nitens,0.65,Gimenez & Moglia 2003,Argentina,,,,,,species
Senegalia polyphylla,0.6,Goodman et al. 2014,Peru,"Tahuamanu Province, Madre de Dios, Peru",,bole,,"WD data collected as part of experiment to develop allometric equations using directly measured tree fresh mass. Sampling scheme designed to have equal number of trees in each 20-cm dbh class; within each class, samples represent the range and average wood density and species composition of the forest",species
Hymenaea courbaril,0.65,Goodman et al. 2014,Peru,"Tahuamanu Province, Madre de Dios, Peru",,bole,,"WD data collected as part of experiment to develop allometric equations using directly measured tree fresh mass. Sampling scheme designed to have equal number of trees in each 20-cm dbh class; within each class, samples represent the range and average wood density and species composition of the forest",species
Senegalia polyphylla,0.58,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Anadenanthera colubrina,0.82,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Aspidosperma polyneuron,0.7,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Centrolobium tomentosum,0.55,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Ceiba speciosa,0.29,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Enterolobium contortisiliquum,0.36,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Hymenaea courbaril,0.74,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Myroxylon peruiferum,0.75,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Pterogyne nitens,0.65,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Schizolobium parahyba,0.47,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Schizolobium parahyba,0.38,Gutierrez Rojas & Sandova,Bolivia,,,,,,species
Myroxylon peruiferum,0.78,Hidayat & Simpson 1994,,,,,,,species
Hymenaea courbaril,0.88,Hidayat & Simpson 1994,,,,,,,species
Hymenaea courbaril,0.75,Hidayat & Simpson 1994,,,,,,,species
Hymenaea courbaril,0.72,Hidayat & Simpson 1994,,,,,,,species
Hymenaea courbaril,0.82,Hidayat & Simpson 1994,,,,,,,species
Schizolobium parahyba,0.24,IBDF 1983,Brazil,,,,,,species
Hymenaea courbaril,0.76,IBDF 1988,Brazil,,,,,,species
Pterogyne nitens,0.76,IBDF 1988,Brazil,,,,,,species
Hymenaea courbaril,0.71,INPA 1991,Brazil,,,,,,species
Anadenanthera colubrina,0.84,INTI 2003,Argentina,,,,,,species
Aspidosperma polyneuron,0.74,INTI 2003,Argentina,,,,,,species
Aspidosperma polyneuron,0.65,INTI 2003,Argentina,,,,,,species
Cedrela fissilis,0.44,INTI 2003,Argentina,,,,,,species
Cedrela fissilis,0.46,INTI 2003,Argentina,,,,,,species
Centrolobium tomentosum,0.58,INTI 2003,Argentina,,,,,,species
Ceiba speciosa,0.22,INTI 2003,Argentina,,,,,,species
Enterolobium contortisiliquum,0.3,INTI 2003,Argentina,,,,,,species
Enterolobium contortisiliquum,0.35,INTI 2003,Argentina,,,,,,species
Hymenaea courbaril,0.76,INTI 2003,Argentina,,,,,,species
Luehea divaricata,0.53,INTI 2003,Argentina,,,,,,species
Luehea divaricata,0.51,INTI 2003,Argentina,,,,,,species
Machaerium brasiliense,0.58,INTI 2003,Argentina,,,,,,species
Myroxylon peruiferum,0.8,INTI 2003,Argentina,,,,,,species
Parapiptadenia rigida,0.79,INTI 2003,Argentina,,,,,,species
Parapiptadenia rigida,0.7,INTI 2003,Argentina,,,,,,species
Peltophorum dubium,0.75,INTI 2003,Argentina,,,,,,species
Pterogyne nitens,0.67,INTI 2003,Argentina,,,,,,species
Pterogyne nitens,0.64,INTI 2003,Argentina,,,,,,species
Pterogyne nitens,0.68,INTI 2003,Argentina,,,,,,species
Schizolobium parahyba,0.27,INTI 2003,Argentina,,,,,,species
