Species;Treatment;Site;Block;Plot;Tree_ID;Family;DBH;Height;Sampled_density;Chave_local;Nogueira_local;Literature_density;Chave_literature;Nogueira_literature;sp
Aloysia virgata ;CON;1;1;2;1296;Verbenaceae;12.5;10;0.6169;55.01;72.74;0.6000;53.54;70.60;1
Aloysia virgata ;CMLT;1;1;2;1648;Verbenaceae;18.4;10.3;0.6169;120.43;166.13;0.6000;117.20;161.23;1
Aloysia virgata ;CMLT;1;1;2;1651;Verbenaceae;10.6;7;0.6169;28.15;45.50;0.6000;27.40;44.16;1
Aloysia virgata ;CMLM;1;1;1;1670;Verbenaceae;11.2;6.8;0.6169;30.47;50.61;0.6000;29.65;49.12;1
Aloysia virgata ;CMLM;1;1;1;1667;Verbenaceae;12.7;7.4;0.6169;42.48;68.22;0.6000;41.34;66.21;1
Aloysia virgata ;SAFT;1;2;2;7495;Verbenaceae;12.4;8.7;0.6169;47.27;68.21;0.6000;46.01;66.20;1
Anadenanthera colubrina ;DIV;1;3;1;1725;Fabaceae;12.7;12.6;0.6818;78.39;90.62;0.8354;95.58;112.78;2
Anadenanthera colubrina ;SAFM;1;2;2;7464;Fabaceae;36;19.4;0.6818;912.98;945.68;0.8354;1113.16;1176.93;2
Anadenanthera colubrina ;SAFM;1;3;1;3236;Fabaceae;22.6;22.5;0.6818;425.22;372.40;0.8354;518.45;463.46;2
Anadenanthera colubrina ;DIV;2;1;1;77;Fabaceae;33.2;22.3;0.6818;893.04;835.83;0.8354;1088.84;1040.21;2
Anadenanthera colubrina ;DIV;2;2;1;441;Fabaceae;28.3;21;0.6818;616.65;584.68;0.8354;751.85;727.65;2
Anadenanthera colubrina ;SAFT;2;3;1;701;Fabaceae;17.6;20.6;0.6818;239.46;213.23;0.8354;291.97;265.37;2
Aspidosperma polyneuron ;CMLM;1;2;1;1372;Apocynaceae;13.3;10.6;0.7026;74.62;97.29;0.7110;75.49;98.54;3
Aspidosperma polyneuron ;CMLM;1;2;1;1373;Apocynaceae;13;10.3;0.7026;69.40;91.82;0.7110;70.21;93.00;3
Aspidosperma polyneuron ;CMLM;1;2;1;1389;Apocynaceae;13.4;8.2;0.7026;58.94;90.58;0.7110;59.62;91.75;3
Aspidosperma polyneuron ;SAFM;1;2;2;7476;Apocynaceae;15;11.1;0.7026;98.71;127.38;0.7110;99.86;129.02;3
Cedrela fissilis;CMLM;1;1;1;1658;Meliaceae;13.8;12.1;0.3545;46.80;52.66;0.4622;60.63;70.07;4
Cedrela fissilis;CMLM;1;1;1;1661;Meliaceae;17.2;13.7;0.3545;81.21;87.42;0.4622;105.21;116.33;4
Cedrela fissilis;DIV;1;3;1;1702;Meliaceae;10.9;9.7;0.3545;23.80;29.69;0.4622;30.83;39.51;4
Cedrela fissilis;SAFM;2;2;1;309;Meliaceae;19.9;14.3;0.3545;112.57;120.66;0.4622;145.82;160.56;4
Cedrela fissilis;SAFM;2;2;2;339;Meliaceae;21.1;9.7;0.3545;86.40;119.65;0.4622;111.93;159.21;4
Cedrela fissilis;CMLM;2;3;1;684;Meliaceae;17.7;9;0.3545;56.99;80.51;0.4622;73.83;107.13;4
Ceiba speciosa ;DIV;1;3;1;1728;Malvaceae;16.1;11.5;0.3710;62.91;75.25;0.3109;52.94;62.21;5
Ceiba speciosa ;DIV;1;3;;4996;Malvaceae;17.5;14;0.3710;89.69;95.93;0.3109;75.48;79.30;5
Ceiba speciosa ;SEM;1;2;;4999;Malvaceae;51;21.4;0.3710;1094.93;1058.71;0.3109;921.45;875.21;5
Ceiba speciosa ;SEM;1;1;;460b;Malvaceae;30.2;13.6;0.3710;252.95;300.39;0.3109;212.87;248.32;5
Ceiba speciosa ;SEM;1;1;;203;Malvaceae;21.4;11.5;0.3710;109.63;137.17;0.3109;92.26;113.40;5
Centrolobium tomentosum;DIV;1;1;2;1322;Fabaceae;11.9;10.7;0.5710;49.50;61.74;0.6150;53.22;66.87;6
Centrolobium tomentosum;CMLM;1;1;2;1681;Fabaceae;11.2;9.6;0.5710;39.56;52.36;0.6150;42.53;56.71;6
Centrolobium tomentosum;DIV;1;2;2;4971;Fabaceae;22.2;20;0.5710;307.88;284.64;0.6150;331.01;308.33;6
Centrolobium tomentosum;DIV;2;1;2;95;Fabaceae;12.9;19.5;0.5710;104.10;89.76;0.6150;111.92;97.23;6
Centrolobium tomentosum;DIV;2;2;1;455;Fabaceae;22.2;16.9;0.5710;261.21;268.80;0.6150;280.84;291.17;6
Centrolobium tomentosum;CMLM;2;2;1;522;Fabaceae;16.2;12.8;0.5710;107.67;125.80;0.6150;115.76;136.27;6
Citharexylum myrianthum ;DIV;1;1;2;1325;Verbenaceae;28.2;12;0.3770;198.93;253.46;0.4850;254.37;332.46;7
Citharexylum myrianthum ;DIV;1;3;1;1722;Verbenaceae;17.1;18.8;0.3770;116.12;102.75;0.4850;148.49;134.78;7
Citharexylum myrianthum ;DIV;1;3;1;1724;Verbenaceae;17.3;17.4;0.3770;110.15;102.57;0.4850;140.84;134.54;7
Citharexylum myrianthum ;DIV;1;3;1;1730;Verbenaceae;18.3;12.5;0.3770;89.00;103.20;0.4850;113.81;135.37;7
Citharexylum myrianthum ;DIV;1;3;2;1750;Verbenaceae;12.6;13;0.3770;44.63;47.59;0.4850;57.07;62.42;7
Citharexylum myrianthum ;DIV;1;2;2;4968;Verbenaceae;26.5;16.3;0.3770;237.57;246.69;0.4850;303.79;323.58;7
Copaifera langsdorffii;CMLM;1;2;1;1374;Fabaceae;10.9;8.9;0.5749;35.08;48.54;0.6300;38.36;53.57;8
Copaifera langsdorffii;DIV;1;3;2;1760;Fabaceae;12.7;14.6;0.5749;76.63;79.29;0.6300;83.79;87.51;8
Copaifera langsdorffii;DIV;1;3;2;1762;Fabaceae;13.6;16.1;0.5749;96.36;94.71;0.6300;105.37;104.53;8
Copaifera langsdorffii;CMLM;2;3;1;682;Fabaceae;10.6;7.7;0.5749;28.84;43.56;0.6300;31.53;48.08;8
Copaifera langsdorffii;DIV;2;2;2;463;Fabaceae;13.8;12.8;0.5749;79.26;90.35;0.6300;86.67;99.71;8
Copaifera langsdorffii;CMLM;2;3;1;676;Fabaceae;12.1;7.7;0.5749;37.34;57.60;0.6300;40.83;63.57;8
Croton floribundus ;DIV;1;3;2;1754;Euphorbiaceae;21.1;16;0.4303;170.14;174.76;0.4967;195.70;203.96;9
Croton floribundus ;SEM;1;2;2;1999;Euphorbiaceae;18.1;13.3;0.4303;105.30;118.75;0.4967;121.13;138.59;9
Croton floribundus ;DIV;1;2;2;4973;Euphorbiaceae;16;13.6;0.4303;84.60;92.24;0.4967;97.31;107.65;9
Croton floribundus ;DIV;2;1;2;105;Euphorbiaceae;14.3;13;0.4303;65.01;71.67;0.4967;74.78;83.64;9
Croton floribundus ;DIV;2;2;1;456;Euphorbiaceae;23.3;14;0.4303;181.25;205.88;0.4967;208.48;240.28;9
Croton floribundus ;CMLM;2;2;1;510;Euphorbiaceae;12;8.2;0.4303;29.45;42.32;0.4967;33.87;49.39;9
Dipteryx alata ;DIV;1;3;1;1713;Fabaceae;10.2;13.8;0.6943;56.84;60.02;0.9367;76.14;82.86;10
Dipteryx alata ;DIV;1;3;2;1740;Fabaceae;13;16.9;0.6943;111.22;107.27;0.9367;148.98;148.10;10
Dipteryx alata ;DIV;1;3;2;1742;Fabaceae;15.6;15.5;0.6943;145.92;153.04;0.9367;195.45;211.28;10
Dipteryx alata ;DIV;2;1;2;101;Fabaceae;14;14.2;0.6943;108.45;118.22;0.9367;145.26;163.21;10
Dipteryx alata ;DIV;2;2;2;474;Fabaceae;10.7;12.3;0.6943;55.78;63.85;0.9367;74.71;88.15;10
Dipteryx alata ;DIV;2;2;2;480;Fabaceae;18.3;12.8;0.6943;165.31;200.82;0.9367;221.42;277.25;10
Enterolobium contortisiliquum ;SAFM;1;1;2;2012;Fabaceae;10.4;8.9;0.3268;18.44;23.93;0.3835;21.56;28.42;11
Enterolobium contortisiliquum ;CMLM;1;3;2;1269;Fabaceae;18.8;10.3;0.3268;67.55;87.69;0.3835;78.96;104.18;11
Enterolobium contortisiliquum ;CMLM;1;1;2;1695;Fabaceae;25.8;16;0.3268;192.60;198.63;0.3835;225.14;235.97;11
Enterolobium contortisiliquum ;CMLT;2;2;1;492;Fabaceae;14.5;8.3;0.3268;32.96;47.11;0.3835;38.53;55.96;11
Enterolobium contortisiliquum ;SAFM;2;2;2;332;Fabaceae;25.2;10.4;0.3268;120.81;163.26;0.3835;141.22;193.95;11
Enterolobium contortisiliquum ;SAFM;2;3;1;715;Fabaceae;26.2;9.4;0.3268;118.10;171.24;0.3835;138.05;203.43;11
Ficus  guaranitica;DIV;1;1;2;1323;Moraceae;22.3;14;0.5367;206.42;238.11;0.4000;154.93;173.49;12
