Species;Mean_sampled_density;Mean_literature_density
Aloysia virgata ;0.6169;0.6000
Anadenanthera colubrina ;0.6818;0.8354
Aspidosperma polyneuron ;0.7026;0.7110
Cedrela fissilis;0.3545;0.4622
Ceiba speciosa ;0.3710;0.3109
Centrolobium tomentosum;0.5710;0.6150
Citharexylum myrianthum ;0.3770;0.4850
Copaifera langsdorffii;0.5749;0.6300
Croton floribundus ;0.4303;0.4967
Dipteryx alata ;0.6943;0.9367
Enterolobium contortisiliquum ;0.3268;0.3835
Ficus  guaranitica;0.5367;0.4000
Hymenaea courbaril ;0.7560;0.7898
Lonchocaspus cultratus;0.5578;0.5900
Luehea divaricata ;0.6699;0.5548
Machaerium brasiliensis;0.5182;0.6300
Machaerium hirtum ;0.3448;0.6600
Mimosa caesalpiniifolia ;0.7578;0.8000
Moquiniastrum polymorphum ;0.5885;0.9550
Myroxylon peruiferum ;0.7021;0.8179
Parapiptadenia rigida ;0.7264;0.7667
Peltophorum dubium ;0.5284;0.6999
Piptadenia gonoacantha;0.6418;0.6375
Poecilanthe parviflora;0.9301;0.9000
Psidium guajava;0.5191;0.6518
Pterogyne nitens ;0.7043;0.6821
Schinus terebinthifolia ;0.4884;0.4900
Schizolobium parahyba;0.3872;0.3380
Senegalia polyphylla;0.6806;0.6279
Urera baccifera ;0.2298;0.1650
Zeyheria tuberculosa;0.5570;0.6800
;;
