species,gwdd_match,reference_level,gwdd_records,gwdd_sources,gwdd_countries,gwdd_sites,gwdd_trunk_WD_g_cm3
Aloysia virgata,Aloysia virgata,species,1,1,1,1,0.64
Anadenanthera colubrina,Anadenanthera colubrina,species,23,16,6,19,0.77
Aspidosperma polyneuron,Aspidosperma polyneuron,species,20,15,6,17,0.68
Cedrela fissilis,Cedrela fissilis,species,25,16,7,21,0.43
Ceiba speciosa,Ceiba speciosa,species,13,13,4,13,0.28
Centrolobium tomentosum,Centrolobium tomentosum,species,6,6,3,6,0.6
Citharexylum myrianthum,Citharexylum myrianthum,species,3,3,1,3,0.47
Copaifera langsdorffii,Copaifera langsdorffii,species,14,8,3,10,0.61
Croton floribundus,Croton floribundus,species,5,4,2,4,0.48
Dipteryx alata,Dipteryx alata,species,12,9,5,10,0.83
Enterolobium contortisiliquum,Enterolobium contortisiliquum,species,17,12,4,14,0.41
Ficus guaranitica,Ficus,genus,634,105,56,160,0.43
Hymenaea courbaril,Hymenaea courbaril,species,88,36,17,49,0.75
Lonchocarpus cultratus,Lonchocarpus cultratus,species,1,1,1,1,0.65
Luehea divaricata,Luehea divaricata,species,12,11,2,11,0.51
Machaerium brasiliense,Machaerium brasiliense,species,6,6,2,6,0.61
Machaerium hirtum,Machaerium hirtum,species,2,2,2,2,0.51
Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,species,2,1,1,1,0.75
Moquiniastrum polymorphum,Moquiniastrum polymorphum,species,1,1,1,1,0.61
Myroxylon peruiferum,Myroxylon peruiferum,species,9,8,6,9,0.78
Parapiptadenia rigida,Parapiptadenia rigida,species,15,10,4,12,0.76
Peltophorum dubium,Peltophorum dubium,species,15,10,3,11,0.68
Piptadenia gonoacantha,Piptadenia gonoacantha,species,9,9,2,9,0.64
Poecilanthe parviflora,Poecilanthe parviflora,species,2,2,1,2,0.8
Psidium guajava,Psidium guajava,species,19,9,13,15,0.6
Pterogyne nitens,Pterogyne nitens,species,19,13,5,16,0.68
Schinus terebinthifolia,Schinus terebinthifolia,species,5,5,4,5,0.56
Schizolobium parahyba,Schizolobium parahyba,species,35,23,12,27,0.39
Senegalia polyphylla,Senegalia polyphylla,species,26,12,7,16,0.63
Urera baccifera,Urera baccifera,species,5,5,3,5,0.25
Zeyheria tuberculosa,Zeyheria tuberculosa,species,8,8,3,8,0.63
