species,wood_density_g_cm3
Aloysia virgata,0.6262135922330098
Aloysia virgata,0.5645756457564576
Aloysia virgata,0.6075949367088608
Aloysia virgata,0.60431654676259
Aloysia virgata,0.6744186046511628
Aloysia virgata,0.6244343891402715
Anadenanthera colubrina,0.7046447986709999
Anadenanthera colubrina,0.6923928830159999
Anadenanthera colubrina,0.690813798696
Anadenanthera colubrina,0.77910847956
Anadenanthera colubrina,0.601380193482
Anadenanthera colubrina,0.6225974145
Aspidosperma polyneuron,0.6888888888888889
Aspidosperma polyneuron,0.7307692307692307
Aspidosperma polyneuron,0.7032967032967034
Aspidosperma polyneuron,0.6875
Cedrela fissilis,0.31835205992509363
Cedrela fissilis,0.3187919463087248
Cedrela fissilis,0.37037037037037035
Cedrela fissilis,0.3423180592991914
Cedrela fissilis,0.3865336658354115
Cedrela fissilis,0.3911764705882353
Ceiba speciosa,0.27271490774999996
Ceiba speciosa,0.381268941
Ceiba speciosa,0.387919383
Ceiba speciosa,0.480208666
Ceiba speciosa,0.33314518000000004
Centrolobium tomentosum,0.5829596412556054
Centrolobium tomentosum,0.5892857142857143
Centrolobium tomentosum,0.5728952772073922
Centrolobium tomentosum,0.5625
Centrolobium tomentosum,0.5940366972477065
Centrolobium tomentosum,0.5246376811594203
Citharexylum myrianthum,0.3921200750469043
Citharexylum myrianthum,0.3562874251497006
Citharexylum myrianthum,0.36792452830188677
Citharexylum myrianthum,0.34
Citharexylum myrianthum,0.39171974522292996
Citharexylum myrianthum,0.4142581888246628
Copaifera langsdorffii,0.5536723163841808
Copaifera langsdorffii,0.5675675675675675
Copaifera langsdorffii,0.6478260869565218
Copaifera langsdorffii,0.5510204081632653
Copaifera langsdorffii,0.614406779661017
Copaifera langsdorffii,0.5150214592274678
Croton floribundus,0.395
Croton floribundus,0.46368715083798884
Croton floribundus,0.42857142857142855
Croton floribundus,0.40625
Croton floribundus,0.43792325056433407
Croton floribundus,0.4507042253521127
Dipteryx alata,0.6561085972850679
Dipteryx alata,0.7164750957854407
Dipteryx alata,0.7250859106529209
Dipteryx alata,0.6948356807511737
Dipteryx alata,0.6707317073170732
Dipteryx alata,0.703125
Enterolobium contortisiliquum,0.323709941
Enterolobium contortisiliquum,0.325017326
Enterolobium contortisiliquum,0.347065495
Enterolobium contortisiliquum,0.287913508
Enterolobium contortisiliquum,0.312137142
Enterolobium contortisiliquum,0.365170197
Ficus guaranitica,0.5266174779999999
Ficus guaranitica,0.5243521135
Ficus guaranitica,0.5983960735
Ficus guaranitica,0.48454364475
Ficus guaranitica,0.5496572295
Hymenaea courbaril,0.774268428
Hymenaea courbaril,0.747475
Hymenaea courbaril,0.7561525248359999
Hymenaea courbaril,0.741503465
Hymenaea courbaril,0.772834808
Hymenaea courbaril,0.744276749778
Lonchocarpus cultratus,0.7196652719665272
Lonchocarpus cultratus,0.5268456375838926
Lonchocarpus cultratus,0.4880636604774536
Lonchocarpus cultratus,0.5076452599388379
Lonchocarpus cultratus,0.543046357615894
Lonchocarpus cultratus,0.5619596541786743
Luehea divaricata,0.7027751339999999
Luehea divaricata,0.6727460863333334
Luehea divaricata,0.68866875125
Luehea divaricata,0.594793814
Luehea divaricata,0.6910145865
Machaerium brasiliense,0.4786885245901639
Machaerium brasiliense,0.49538461538461537
Machaerium brasiliense,0.4955223880597015
Machaerium brasiliense,0.5353535353535354
Machaerium brasiliense,0.5735849056603773
Machaerium brasiliense,0.5307692307692308
Machaerium hirtum,0.3492647058823529
Machaerium hirtum,0.33214285714285713
Machaerium hirtum,0.34365325077399383
Machaerium hirtum,0.3466666666666667
Machaerium hirtum,0.3530751708428246
Machaerium hirtum,0.3442028985507246
