treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
SAFT,2,1,1,1,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,8.8,6.1,,,,,,,,,,
SAFT,2,1,1,2,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.3,6.6,6.6,,,,,,,,,
SAFT,2,1,1,3,Fabaceae,Mimosa caesalpininiifolia Benth.,11.3,19.7,23.0,8.0,6.7,11.7,8.1,8.3,8.0,,,
SAFT,2,1,1,4,Fabaceae,Mimosa caesalpininiifolia Benth.,9.6,5.8,,,,,,,,,,
SAFT,2,1,1,5,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,9.8,9.9,,,,,,,,,,
SAFT,2,1,1,6,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,12.5,18.7,,,,,,,,,,
SAFT,2,1,1,7,Fabaceae,Mimosa caesalpininiifolia Benth.,9.4,6.2,6.0,4.5,,,,,,,,
SAFT,2,1,1,8,Fabaceae,Mimosa caesalpininiifolia Benth.,9.4,21.8,15.5,14.9,11.6,,,,,,,
SAFT,2,1,2,9,Fabaceae,Mimosa caesalpininiifolia Benth.,12.4,11.5,19.8,22.5,22.0,,,,,,,
SAFT,2,1,2,10,Fabaceae,Mimosa caesalpininiifolia Benth.,9.0,3.9,4.4,10.2,4.2,,,,,,,
SAFT,2,1,2,11,Fabaceae,Mimosa caesalpininiifolia Benth.,11.5,25.1,3.5,,,,,,,,,
SAFT,2,1,2,12,Fabaceae,Mimosa caesalpininiifolia Benth.,11.0,10.6,,,,,,,,,,
SAFT,2,1,2,13,Fabaceae,Mimosa caesalpininiifolia Benth.,8.6,5.1,,,,,,,,,,
SAFT,2,1,2,14,Fabaceae,Mimosa caesalpininiifolia Benth.,13.2,14.9,15.0,11.7,15.8,,,,,,,
SAFT,2,1,2,15,Fabaceae,Hymenaea courbaril L.,14.3,16.1,,,,,,,,,,
SAFT,2,1,2,16,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,7.3,14.9,15.3,,,,,,,,,
SAFT,2,1,2,17,Myrtaceae,Psidium guajava L.,4.2,5.6,,,,,,,,,,
SAFT,2,1,2,18,Fabaceae,Pterogyne nitens Tul.,14.7,15.5,,,,,,,,,,
SAFT,2,1,2,20,Fabaceae,Mimosa caesalpininiifolia Benth.,8.3,5.4,,,,,,,,,,
SAFT,2,1,2,21,Myrtaceae,Psidium guajava L.,5.4,5.6,4.7,,,,,,,,,
SAFT,2,1,2,22,Fabaceae,Mimosa caesalpininiifolia Benth.,17.5,16.6,25.6,29.4,22.1,,,,,,,
SAFM,2,1,1,23,Fabaceae,Anadenanthera peregrina falcata,18.5,18.0,,,,,,,,,,
SAFM,2,1,1,24,Fabaceae,Peltophorum dubium (Spreng.) Taub.,19.9,38.9,,,,,,,,,,
