species,treatment,site,block,plot,tree_id,family,DBH_cm,height_m
Aloysia virgata,CON,1,1,2,1296,Verbenaceae,12.5,10.0
Aloysia virgata,CMLT,1,1,2,1648,Verbenaceae,18.4,10.3
Aloysia virgata,CMLT,1,1,2,1651,Verbenaceae,10.6,7.0
Aloysia virgata,CMLM,1,1,1,1670,Verbenaceae,11.2,6.8
Aloysia virgata,CMLM,1,1,1,1667,Verbenaceae,12.728707711311467,7.4
Aloysia virgata,SAFT,1,2,2,7495,Verbenaceae,12.4,8.7
Anadenanthera colubrina,DIV,1,3,1,1725,Fabaceae,12.7,12.6
Anadenanthera colubrina,SAFM,1,2,2,7464,Fabaceae,36.0,19.4
Anadenanthera colubrina,SAFM,1,3,1,3236,Fabaceae,22.6,22.5
Anadenanthera colubrina,DIV,2,1,1,77,Fabaceae,33.2,22.3
Anadenanthera colubrina,DIV,2,2,1,441,Fabaceae,28.3,21.0
Anadenanthera colubrina,SAFT,2,3,1,701,Fabaceae,17.6,20.6
Aspidosperma polyneuron,CMLM,1,2,1,1372,Apocynaceae,13.3,10.6
Aspidosperma polyneuron,CMLM,1,2,1,1373,Apocynaceae,13.0,10.3
Aspidosperma polyneuron,CMLM,1,2,1,1389,Apocynaceae,13.4,8.2
Aspidosperma polyneuron,SAFM,1,2,2,7476,Apocynaceae,15.0,11.1
Cedrela fissilis,CMLM,1,1,1,1658,Meliaceae,13.8,12.1
Cedrela fissilis,CMLM,1,1,1,1661,Meliaceae,17.2,13.7
Cedrela fissilis,DIV,1,3,1,1702,Meliaceae,10.9,9.7
Cedrela fissilis,SAFM,2,2,1,309,Meliaceae,19.9,14.3
Cedrela fissilis,SAFM,2,2,2,339,Meliaceae,21.1,9.7
Cedrela fissilis,CMLM,2,3,1,684,Meliaceae,17.7,9.0
Ceiba speciosa,DIV,1,3,1,1728,Malvaceae,16.1,11.5
Ceiba speciosa,DIV,1,3,,4996,Malvaceae,17.5,14.0
Ceiba speciosa,SEM,1,2,,4999,Malvaceae,51.0,21.4
Ceiba speciosa,SEM,1,1,,460b,Malvaceae,30.2,13.6
Ceiba speciosa,SEM,1,1,,203,Malvaceae,21.4,11.5
Centrolobium tomentosum,DIV,1,1,2,1322,Fabaceae,11.9,10.7
Centrolobium tomentosum,CMLM,1,1,2,1681,Fabaceae,11.2,9.6
Centrolobium tomentosum,DIV,1,2,2,4971,Fabaceae,22.2,20.0
Centrolobium tomentosum,DIV,2,1,2,95,Fabaceae,12.9,19.5
Centrolobium tomentosum,DIV,2,2,1,455,Fabaceae,22.2,16.9
Centrolobium tomentosum,CMLM,2,2,1,522,Fabaceae,16.2,12.8
Citharexylum myrianthum,DIV,1,1,2,1325,Verbenaceae,28.2,12.0
Citharexylum myrianthum,DIV,1,3,1,1722,Verbenaceae,17.1,18.8
Citharexylum myrianthum,DIV,1,3,1,1724,Verbenaceae,17.3,17.4
Citharexylum myrianthum,DIV,1,3,1,1730,Verbenaceae,18.3,12.5
Citharexylum myrianthum,DIV,1,3,2,1750,Verbenaceae,12.6,13.0
Citharexylum myrianthum,DIV,1,2,2,4968,Verbenaceae,26.5,16.3
Copaifera langsdorffii,CMLM,1,2,1,1374,Fabaceae,10.9,8.9
Copaifera langsdorffii,DIV,1,3,2,1760,Fabaceae,12.7,14.6
Copaifera langsdorffii,DIV,1,3,2,1762,Fabaceae,13.6,16.1
Copaifera langsdorffii,CMLM,2,3,1,682,Fabaceae,10.6,7.7
Copaifera langsdorffii,DIV,2,2,2,463,Fabaceae,13.8,12.8
Copaifera langsdorffii,CMLM,2,3,1,676,Fabaceae,12.1,7.7
Croton floribundus,DIV,1,3,2,1754,Euphorbiaceae,21.1,16.0
Croton floribundus,SEM,1,2,2,1999,Euphorbiaceae,18.1,13.3
Croton floribundus,DIV,1,2,2,4973,Euphorbiaceae,16.0,13.6
Croton floribundus,DIV,2,1,2,105,Euphorbiaceae,14.3,13.0
