species,WD_measurement_method
Aloysia virgata,Gravimetric
Anadenanthera colubrina,X-ray densitometry
Aspidosperma polyneuron,Gravimetric
Cedrela fissilis,Gravimetric
Ceiba speciosa,X-ray densitometry
Centrolobium tomentosum,Gravimetric
Citharexylum myrianthum,Gravimetric
Copaifera langsdorffii,Gravimetric
Croton floribundus,Gravimetric
Dipteryx alata,Gravimetric
Enterolobium contortisiliquum,X-ray densitometry
Ficus guaranitica,X-ray densitometry
Hymenaea courbaril,X-ray densitometry
Lonchocarpus cultratus,Gravimetric
Luehea divaricata,X-ray densitometry
Machaerium brasiliense,Gravimetric
Machaerium hirtum,Gravimetric
Mimosa caesalpiniifolia,Gravimetric
Moquiniastrum polymorphum,Gravimetric
Myroxylon peruiferum,Gravimetric
Parapiptadenia rigida,Gravimetric
Peltophorum dubium,Gravimetric
Piptadenia gonoacantha,X-ray densitometry
Poecilanthe parviflora,X-ray densitometry
Psidium guajava,Gravimetric
Pterogyne nitens,X-ray densitometry
Schinus terebinthifolia,Gravimetric
Schizolobium parahyba,X-ray densitometry
Senegalia polyphylla,Gravimetric
Urera baccifera,Gravimetric
Zeyheria tuberculosa,Gravimetric
