genus,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Jupunba,Fabaceae,Fabales,Angiosperms,46,22,13,33,0.56,0.56,0.56,0.54
Acrocomia,Arecaceae,Arecales,Angiosperms,2,2,2,2,0.81,0.81,0.71,0.98
Agonandra,Opiliaceae,Santalales,Angiosperms,19,13,8,16,0.71,0.71,0.64,0.73
Alchornea,Euphorbiaceae,Malpighiales,Angiosperms,111,37,22,58,0.45,0.45,0.46,0.43
Alexa,Fabaceae,Fabales,Angiosperms,32,14,6,18,0.53,0.53,0.52,0.53
Amaioua,Rubiaceae,Gentianales,Angiosperms,34,15,5,20,0.64,0.64,0.62,0.64
Amburana,Fabaceae,Fabales,Angiosperms,44,17,6,20,0.56,0.56,0.55,0.51
Anacardium,Anacardiaceae,Sapindales,Angiosperms,79,37,18,46,0.46,0.46,0.47,0.43
Anadenanthera,Fabaceae,Fabales,Angiosperms,43,24,9,28,0.73,0.74,0.66,0.75
Andira,Fabaceae,Fabales,Angiosperms,102,42,14,52,0.68,0.68,0.64,0.7
Aniba,Lauraceae,Laurales,Angiosperms,92,26,11,34,0.61,0.61,0.57,0.65
Annona,Annonaceae,Magnoliales,Angiosperms,189,54,28,83,0.47,0.47,0.45,0.46
Antonia,Loganiaceae,Gentianales,Angiosperms,39,9,4,12,0.5,0.49,0.5,0.53
Apeiba,Malvaceae,Malvales,Angiosperms,108,31,11,49,0.32,0.32,0.38,0.29
Apuleia,Fabaceae,Fabales,Angiosperms,35,19,4,20,0.68,0.69,0.64,0.71
Arapatiella,Fabaceae,Fabales,Angiosperms,2,2,1,2,0.69,0.7,0.64,0.74
Araucaria,Araucariaceae,Cupressales,Gymnosperms,63,18,8,23,0.45,0.45,0.5,0.45
Aspidosperma,Apocynaceae,Gentianales,Angiosperms,300,66,18,101,0.7,0.7,0.67,0.72
Astrocaryum,Arecaceae,Arecales,Angiosperms,5,5,2,5,0.6,0.61,0.58,0.63
Astronium,Anacardiaceae,Sapindales,Angiosperms,110,45,13,56,0.71,0.72,0.61,0.73
Myracrodruon,Anacardiaceae,Sapindales,Angiosperms,27,13,4,17,0.84,0.84,0.72,0.89
Bagassa,Moraceae,Rosales,Angiosperms,26,13,6,16,0.61,0.61,0.57,0.66
Pterygota,Malvaceae,Malvales,Angiosperms,49,19,16,29,0.54,0.54,0.54,0.53
Bellucia,Melastomataceae,Myrtales,Angiosperms,57,12,8,23,0.56,0.56,0.55,0.56
Bertholletia,Lecythidaceae,Ericales,Angiosperms,17,13,5,13,0.6,0.61,0.59,0.63
Bixa,Bixaceae,Malvales,Angiosperms,20,10,6,15,0.37,0.35,0.41,0.34
Blepharocalyx,Myrtaceae,Myrtales,Angiosperms,16,13,5,13,0.71,0.71,0.64,0.67
Bowdichia,Fabaceae,Fabales,Angiosperms,41,12,5,15,0.69,0.7,0.6,0.64
Brosimum,Moraceae,Rosales,Angiosperms,288,58,16,94,0.62,0.62,0.55,0.66
Terminalia,Combretaceae,Myrtales,Angiosperms,771,112,71,201,0.65,0.65,0.64,0.62
Byrsonima,Malpighiaceae,Malpighiales,Angiosperms,242,43,17,65,0.59,0.59,0.56,0.59
Cabralea,Meliaceae,Sapindales,Angiosperms,27,16,5,19,0.54,0.53,0.5,0.52
Callisthene,Vochysiaceae,Myrtales,Angiosperms,10,7,2,7,0.66,0.66,0.62,0.66
Calophyllum,Calophyllaceae,Malpighiales,Angiosperms,242,63,39,97,0.57,0.57,0.6,0.56
Calycophyllum,Rubiaceae,Gentianales,Angiosperms,37,19,11,24,0.69,0.69,0.64,0.7
Campsiandra,Fabaceae,Fabales,Angiosperms,20,5,3,5,0.76,0.77,0.7,0.83
Caraipa,Calophyllaceae,Malpighiales,Angiosperms,44,12,7,18,0.65,0.66,0.63,0.64
Carapa,Meliaceae,Sapindales,Angiosperms,127,31,23,55,0.57,0.57,0.57,0.56
Cardiopetalum,Annonaceae,Magnoliales,Angiosperms,3,3,2,3,0.58,0.58,0.56,0.6
Cariniana,Lecythidaceae,Ericales,Angiosperms,42,20,6,21,0.53,0.53,0.53,0.54
Caryocar,Caryocaraceae,Malpighiales,Angiosperms,78,30,8,36,0.66,0.66,0.6,0.66
Cassia,Fabaceae,Fabales,Angiosperms,74,31,28,48,0.68,0.68,0.64,0.7
Catostemma,Malvaceae,Malvales,Angiosperms,43,14,7,20,0.56,0.57,0.56,0.6
Cavanillesia,Malvaceae,Malvales,Angiosperms,18,11,5,13,0.23,0.22,0.3,0.17
Cecropia,Urticaceae,Rosales,Angiosperms,239,49,17,71,0.32,0.31,0.36,0.32
Cedrela,Meliaceae,Sapindales,Angiosperms,117,44,23,61,0.43,0.43,0.49,0.42
Cedrelinga,Fabaceae,Fabales,Angiosperms,45,20,8,25,0.54,0.55,0.56,0.47
Ceiba,Malvaceae,Malvales,Angiosperms,134,55,27,72,0.35,0.35,0.39,0.32
Celtis,Cannabaceae,Rosales,Angiosperms,426,59,44,112,0.59,0.59,0.6,0.56
Centrolobium,Fabaceae,Fabales,Angiosperms,37,22,9,28,0.65,0.65,0.63,0.65
Chamaecrista,Fabaceae,Fabales,Angiosperms,28,10,3,11,0.82,0.83,0.81,0.9
Chaunochiton,Olacaceae,Santalales,Angiosperms,16,10,5,12,0.58,0.58,0.57,0.55
Cheiloclinium,Celastraceae,Celastrales,Angiosperms,36,6,6,12,0.69,0.69,0.66,0.7
Chomelia,Rubiaceae,Gentianales,Angiosperms,16,9,6,11,0.62,0.62,0.6,0.6
Chrysophyllum,Sapotaceae,Ericales,Angiosperms,239,52,30,85,0.67,0.68,0.63,0.7
