species,genus,epithet,epithet_infraspecific,rank_taxonomic,status_taxonomic,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Jupunba adenophora,Jupunba,adenophora,"",species,accepted,Fabaceae,Fabales,Angiosperms,4,4,4,4,0.59,0.58,0.59,0.61
Acrocomia intumescens,Acrocomia,intumescens,"",species,accepted,Arecaceae,Arecales,Angiosperms,1,1,1,1,1.04,1.06,0.82,1.3
Agonandra brasiliensis,Agonandra,brasiliensis,"",species,accepted,Opiliaceae,Santalales,Angiosperms,9,8,3,8,0.74,0.75,0.66,0.76
Alchornea glandulosa subsp. iricurana,Alchornea,glandulosa,iricurana,subspecies,accepted,Euphorbiaceae,Malpighiales,Angiosperms,3,3,2,3,0.41,0.41,0.44,0.4
Alexa grandiflora,Alexa,grandiflora,"",species,accepted,Fabaceae,Fabales,Angiosperms,13,8,1,8,0.58,0.58,0.55,0.61
Amaioua guianensis,Amaioua,guianensis,"",species,accepted,Rubiaceae,Gentianales,Angiosperms,13,9,3,9,0.62,0.6,0.61,0.61
Amburana acreana,Amburana,acreana,"",species,accepted,Fabaceae,Fabales,Angiosperms,3,3,2,3,0.56,0.56,0.55,0.55
Amburana cearensis,Amburana,cearensis,"",species,accepted,Fabaceae,Fabales,Angiosperms,41,16,6,19,0.5,0.5,0.51,0.51
Anacardium giganteum,Anacardium,giganteum,"",species,accepted,Anacardiaceae,Sapindales,Angiosperms,18,11,5,12,0.43,0.43,0.45,0.44
Anacardium occidentale,Anacardium,occidentale,"",species,accepted,Anacardiaceae,Sapindales,Angiosperms,16,9,10,12,0.46,0.46,0.47,0.46
Anacardium spruceanum,Anacardium,spruceanum,"",species,accepted,Anacardiaceae,Sapindales,Angiosperms,15,10,4,12,0.42,0.42,0.45,0.44
Anadenanthera colubrina var. cebil,Anadenanthera,colubrina,cebil,variety,accepted,Fabaceae,Fabales,Angiosperms,12,8,6,8,0.8,0.8,0.69,0.81
Andira cujabensis,Andira,cujabensis,"",species,accepted,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.7,0.71,0.65,0.76
Andira humilis,Andira,humilis,"",species,accepted,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.66,0.67,0.63,0.68
Andira inermis,Andira,inermis,"",species,accepted,Fabaceae,Fabales,Angiosperms,34,18,11,23,0.64,0.64,0.62,0.64
Andira parviflora,Andira,parviflora,"",species,accepted,Fabaceae,Fabales,Angiosperms,8,6,2,6,0.69,0.69,0.64,0.72
Aniba canelilla,Aniba,canelilla,"",species,accepted,Lauraceae,Laurales,Angiosperms,11,7,4,7,0.89,0.89,0.7,0.95
Aniba parviflora,Aniba,parviflora,"",species,accepted,Lauraceae,Laurales,Angiosperms,7,3,2,3,0.55,0.56,0.55,0.56
Aniba rosaeodora,Aniba,rosaeodora,"",species,accepted,Lauraceae,Laurales,Angiosperms,6,4,2,4,0.67,0.67,0.6,0.75
Aniba terminalis,Aniba,terminalis,"",species,accepted,Lauraceae,Laurales,Angiosperms,5,4,3,4,0.63,0.64,0.58,0.62
Annona crassiflora,Annona,crassiflora,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,6,5,1,5,0.38,0.38,0.38,0.36
Annona glabra,Annona,glabra,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,12,9,7,11,0.45,0.45,0.45,0.46
Annona mucosa,Annona,mucosa,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,10,5,4,6,0.43,0.41,0.5,0.41
Annona neoinsignis,Annona,neoinsignis,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,3,3,2,3,0.41,0.39,0.43,0.43
Annona reticulata,Annona,reticulata,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,5,5,4,5,0.46,0.46,0.45,0.47
Annona salzmannii,Annona,salzmannii,"",species,accepted,Annonaceae,Magnoliales,Angiosperms,2,2,1,2,0.44,0.44,0.44,0.45
Antonia ovata,Antonia,ovata,"",species,accepted,Loganiaceae,Gentianales,Angiosperms,39,9,4,12,0.51,0.48,0.5,0.53
Apeiba tibourbou,Apeiba,tibourbou,"",species,accepted,Malvaceae,Malvales,Angiosperms,36,15,8,21,0.28,0.27,0.37,0.28
Apuleia leiocarpa,Apuleia,leiocarpa,"",species,accepted,Fabaceae,Fabales,Angiosperms,35,19,4,20,0.69,0.7,0.65,0.71
Arapatiella psilophylla,Arapatiella,psilophylla,"",species,accepted,Fabaceae,Fabales,Angiosperms,2,2,1,2,0.71,0.71,0.65,0.74
