species,WD_measurement_method,n_field,field_WD_mean_g_cm3,field_WD_SD_g_cm3,GWDD_reference_level,GWDD_match,GWDD_trunk_WD_g_cm3,GWDD_n_all,GWDD_n_filtered,Welch_t,p_raw,p_BH,BH_significant
Aloysia virgata,Gravimetric,6,0.6169256192087254,0.03587383867998338,species,Aloysia virgata,0.64,1,1,NA,NA,NA,FALSE
Anadenanthera colubrina,X-ray densitometry,6,0.6818229279875,0.06349263109092554,species,Anadenanthera colubrina,0.77,23,18,-2.2944009008065374,0.037300929663923996,0.09946914577046398,FALSE
Aspidosperma polyneuron,Gravimetric,4,0.7026137057387057,0.020083117073186565,species,Aspidosperma polyneuron,0.68,20,19,0.21084806701587058,0.8350450269544126,0.9543371736621858,FALSE
Cedrela fissilis,Gravimetric,6,0.35459042872117114,0.03272087157320715,species,Cedrela fissilis,0.43,25,20,-3.094824127523235,0.005404401976417375,0.0216176079056695,TRUE
Ceiba speciosa,X-ray densitometry,5,0.37105141555,0.076503566808828,species,Ceiba speciosa,0.28,13,11,2.3017061088966333,0.045415473368041755,0.10899713608330021,FALSE
Centrolobium tomentosum,Gravimetric,6,0.5710525018593064,0.02542982473899923,species,Centrolobium tomentosum,0.6,6,4,-0.6459895233044107,0.5422829249038961,0.7230438998718614,FALSE
Citharexylum myrianthum,Gravimetric,6,0.3770516604243474,0.027253693819451558,species,Citharexylum myrianthum,0.47,3,3,-1.4063512325885341,0.27760926658979085,0.47590159986821284,FALSE
Copaifera langsdorffii,Gravimetric,6,0.5749191029933367,0.04803967376415987,species,Copaifera langsdorffii,0.61,14,10,-1.0669771304002367,0.30602245156701785,0.4896359225072286,FALSE
Croton floribundus,Gravimetric,6,0.43035600922097733,0.02614042784443934,species,Croton floribundus,0.48,5,3,-0.0807836065727781,0.9419202204570927,0.9665284182931422,FALSE
Dipteryx alata,Gravimetric,6,0.6943936652986127,0.026576944026292855,species,Dipteryx alata,0.83,12,9,-4.493936441709753,0.001049786908553332,0.005038977161055993,TRUE
Enterolobium contortisiliquum,X-ray densitometry,6,0.3268356015,0.026917799897543653,species,Enterolobium contortisiliquum,0.41,17,14,-2.8990060414727887,0.009817261606096885,0.03365918264947503,TRUE
Ficus guaranitica,X-ray densitometry,5,0.5367133078499999,0.04167945339133026,genus,Ficus,0.43,634,NA,NA,NA,NA,FALSE
Hymenaea courbaril,X-ray densitometry,6,0.7560851626023333,0.014404066908859297,species,Hymenaea courbaril,0.75,88,85,-0.8081644945719539,0.4218084878405035,0.6327127317607553,FALSE
Lonchocarpus cultratus,Gravimetric,6,0.55787097362688,0.08339320869824127,species,Lonchocarpus cultratus,0.65,1,1,NA,NA,NA,FALSE
Luehea divaricata,X-ray densitometry,5,0.6699996744166666,0.04338160880489856,species,Luehea divaricata,0.51,12,11,8.158380547508848,1.96176791251659e-4,0.0012104570843368885,TRUE
Machaerium brasiliense,Gravimetric,6,0.518217199969604,0.034973383836154934,species,Machaerium brasiliense,0.61,6,4,-2.8738420842457524,0.03591047233247429,0.09946914577046398,FALSE
Machaerium hirtum,Gravimetric,6,0.3448342583099033,0.007124103915324454,species,Machaerium hirtum,0.51,2,2,NA,NA,NA,FALSE
Mimosa caesalpiniifolia,Gravimetric,5,0.7578759532405254,0.03376933920981449,species,Mimosa caesalpiniifolia,0.75,2,2,NA,NA,NA,FALSE
Moquiniastrum polymorphum,Gravimetric,5,0.5885885858893161,0.014441416792426085,species,Moquiniastrum polymorphum,0.61,1,0,NA,NA,NA,FALSE
Myroxylon peruiferum,Gravimetric,6,0.7021194297964848,0.021108668686830347,species,Myroxylon peruiferum,0.78,9,9,-5.24460050199635,1.5898009320252114e-4,0.0012104570843368885,TRUE
Parapiptadenia rigida,Gravimetric,3,0.7264324824506226,0.051766241106980686,species,Parapiptadenia rigida,0.76,15,12,-0.7424776711796128,0.4817068584450095,0.6800567413341311,FALSE
Peltophorum dubium,Gravimetric,6,0.5284448027341522,0.030919335998651185,species,Peltophorum dubium,0.68,15,13,-4.858888045291356,1.7625918498706265e-4,0.0012104570843368885,TRUE
Piptadenia gonoacantha,X-ray densitometry,5,0.6418496588,0.06863591645972197,species,Piptadenia gonoacantha,0.64,9,8,-0.3812374306089554,0.7107018522997455,0.8528422227596946,FALSE
Poecilanthe parviflora,X-ray densitometry,5,0.93010983325,0.030563528800255764,species,Poecilanthe parviflora,0.8,2,2,NA,NA,NA,FALSE
Psidium guajava,Gravimetric,6,0.5191755460595684,0.010844730643324212,species,Psidium guajava,0.6,19,19,-4.501715117449922,2.017428473894814e-4,0.0012104570843368885,TRUE
Pterogyne nitens,X-ray densitometry,6,0.7043812748333333,0.03941021885971344,species,Pterogyne nitens,0.68,19,18,1.426157724559274,0.1862768887861993,0.3438957946822141,FALSE
Schinus terebinthifolia,Gravimetric,6,0.48845417444734074,0.035509788113332476,species,Schinus terebinthifolia,0.56,5,3,-0.6174231872352535,0.5893082022961361,0.7443893081635403,FALSE
Schizolobium parahyba,X-ray densitometry,5,0.3872230986,0.03817145557100291,species,Schizolobium parahyba,0.39,35,35,0.04723109174068482,0.9628589551750718,0.9665284182931422,FALSE
Senegalia polyphylla,Gravimetric,5,0.6806364434710519,0.03787378657364486,species,Senegalia polyphylla,0.63,26,24,1.6778847103931078,0.10795789639946271,0.21591579279892542,FALSE
Urera baccifera,Gravimetric,6,0.22988027386552629,0.031761226754015236,species,Urera baccifera,0.25,5,5,-0.044275166424429836,0.9665284182931422,0.9665284182931422,FALSE
Zeyheria tuberculosa,Gravimetric,6,0.5570350733798053,0.04088244388588395,species,Zeyheria tuberculosa,0.63,8,7,-2.0572273922466167,0.06929705810988997,0.151193581330669,FALSE
