species,field_WD_g_cm3,GWDD_reference_level,GWDD_trunk_WD_g_cm3,WD_difference_pct,Chave_AGB_difference_pct,Nogueira_AGB_difference_pct,BH_significant_WD_difference
Aloysia virgata,0.6169256192087254,species,0.64,3.740220874741769,3.6488376825023927,4.033952880591807,FALSE
Anadenanthera colubrina,0.6818229279875,species,0.77,12.93254720441384,12.603389843594993,13.995103266827847,FALSE
Aspidosperma polyneuron,0.7026137057387057,species,0.68,-3.218511901206134,-3.142494390132089,-3.4619988817672365,FALSE
Cedrela fissilis,0.35459042872117114,species,0.43,21.26666857613533,20.70677649175461,23.08058116796099,TRUE
Ceiba speciosa,0.37105141555,species,0.28,-24.538759787518067,-24.027124548072454,-26.15711060050566,FALSE
Centrolobium tomentosum,0.5710525018593064,species,0.6,5.069148291346685,4.944529963058919,5.4699652972644675,FALSE
Citharexylum myrianthum,0.3770516604243474,species,0.47,24.65135400041607,23.993886337099156,26.7843560988235,FALSE
Copaifera langsdorffii,0.5749191029933367,species,0.61,6.10188404316596,5.951166217865023,6.586885964091493,FALSE
Croton floribundus,0.43035600922097733,species,0.48,11.53556351377254,11.243705080695632,12.477121907786248,FALSE
Dipteryx alata,0.6943936652986127,species,0.83,19.52874017695308,19.018098072071265,21.181887433706702,TRUE
Enterolobium contortisiliquum,0.3268356015,species,0.41,25.445330349056224,24.764661178778557,27.654313962971642,TRUE
Ficus guaranitica,0.5367133078499999,genus,0.43,-19.88273931151043,-19.455356134110446,-21.23867732019774,FALSE
Hymenaea courbaril,0.7560851626023333,species,0.75,-0.8048250254493875,-0.7855852977971978,-0.8665273012332664,FALSE
Lonchocarpus cultratus,0.55787097362688,species,0.65,16.51439682802686,16.08777331860667,17.89376023249858,FALSE
Luehea divaricata,0.6699996744166666,species,0.51,-23.88056002504328,-23.38043351384098,-25.463199884304167,TRUE
Machaerium brasiliense,0.518217199969604,species,0.61,17.711260845023954,17.251492431372007,19.19855715481622,FALSE
Machaerium hirtum,0.3448342583099033,species,0.51,47.89713832367024,46.51454352962408,52.421655114624976,FALSE
Mimosa caesalpiniifolia,0.7578759532405254,species,0.75,-1.039214030587641,-1.0143998304900759,-1.118784269560824,FALSE
Moquiniastrum polymorphum,0.5885885858893161,species,0.61,3.637755577324487,3.5489184614309055,3.9232895033224358,FALSE
Myroxylon peruiferum,0.7021194297964848,species,0.78,11.092211224818202,10.812104922369393,11.995674405654967,TRUE
Parapiptadenia rigida,0.7264324824506226,species,0.76,4.620872326102107,4.507509136838195,4.985410037424942,FALSE
Peltophorum dubium,0.5284448027341522,species,0.68,28.67947541194603,27.903096565351348,31.20231452246267,TRUE
Piptadenia gonoacantha,0.6418496588,species,0.64,-0.28817633142597643,-0.28126983535335937,-0.3103314439310667,FALSE
Poecilanthe parviflora,0.93010983325,species,0.8,-13.98865258690672,-13.677022244778003,-14.98089202551105,FALSE
Psidium guajava,0.5191755460595684,species,0.6,15.567846859096495,15.167233229092414,16.86258070770159,TRUE
Pterogyne nitens,0.7043812748333333,species,0.68,-3.461374642462246,-3.3797217546542524,-3.72287877640729,FALSE
Schinus terebinthifolia,0.48845417444734074,species,0.56,14.647397708005979,14.271903202494185,15.860459075762279,FALSE
Schizolobium parahyba,0.3872230986,species,0.39,0.7171321674868782,0.6998609100685282,0.7725641185318155,FALSE
Senegalia polyphylla,0.6806364434710519,species,0.63,-7.439572764105968,-7.267676386017774,-7.988925470798081,FALSE
Urera baccifera,0.22988027386552629,species,0.25,8.75226299157935,8.533493787049196,9.457128869719366,FALSE
Zeyheria tuberculosa,0.5570350733798053,species,0.63,13.098802949243515,12.765179648437663,14.175855653332547,FALSE
