species,treatment,site,block,plot,tree_id,family,DBH_cm,height_m,reference_level,field_mean,reference_wd,Chave_field_kg,Chave_GWDD_kg,Chave_difference_kg,Chave_difference_pct,Nogueira_field_kg,Nogueira_GWDD_kg,Nogueira_difference_kg,Nogueira_difference_pct
Aloysia virgata,CON,1,1,2,1296,Verbenaceae,12.5,10,species,0.6169256192087254,0.64,55.01113784442154,57.018404971662136,2.0072671272405955,3.648837682502407,72.74557152559271,75.68009360365232,2.934522078059615,4.0339528805918
Aloysia virgata,CMLT,1,1,2,1648,Verbenaceae,18.4,10.3,species,0.6169256192087254,0.64,120.43031002901577,124.82461656250896,4.394306533493193,3.648837682502399,166.13330151920954,172.83504062146594,6.701739102256397,4.03395288059179
Aloysia virgata,CMLT,1,1,2,1651,Verbenaceae,10.6,7,species,0.6169256192087254,0.64,28.151077253997073,29.178264368871282,1.0271871148742093,3.6488376825024083,45.50458333985591,47.34021679029532,1.8356334504394098,4.033952880591791
Aloysia virgata,CMLM,1,1,1,1670,Verbenaceae,11.2,6.8,species,0.6169256192087254,0.64,30.470849462937057,31.582681300319283,1.1118318373822262,3.648837682502396,50.60920217613267,52.6507535451613,2.0415513690286318,4.0339528805918
Aloysia virgata,CMLM,1,1,1,1667,Verbenaceae,12.728707711311468,7.4,species,0.6169256192087254,0.64,42.480676261037694,44.03072718423228,1.5500509231945898,3.648837682502388,68.2276039667596,70.97987336233545,2.7522693955758513,4.033952880591781
Aloysia virgata,SAFT,1,2,2,7495,Verbenaceae,12.4,8.7,species,0.6169256192087254,0.64,47.272895343899016,48.997806562817125,1.724911218918109,3.6488376825023985,68.21544779944401,70.96722682095827,2.751779021514267,4.0339528805918
Anadenanthera colubrina,DIV,1,3,1,1725,Fabaceae,12.7,12.6,species,0.6818229279875,0.77,78.39079385098383,88.27069120151221,9.879897350528381,12.60338984359499,90.62788655408363,103.31135286587123,12.683466311787598,13.99510326682785
Anadenanthera colubrina,SAFM,1,2,2,7464,Fabaceae,36,19.4,species,0.6818229279875,0.77,913.0099637887035,1028.0801688358595,115.07020504715592,12.603389843595009,945.7163133972496,1078.0702880684319,132.3539746711823,13.99510326682784
Anadenanthera colubrina,SAFM,1,3,1,3236,Fabaceae,22.6,22.5,species,0.6818229279875,0.77,425.2343685202507,478.8283137338073,53.593945213556594,12.603389843594996,372.40960927991046,424.52871867422397,52.11910939431351,13.995103266827831
Anadenanthera colubrina,DIV,2,1,1,77,Fabaceae,33.2,22.3,species,0.6818229279875,0.77,893.070271624816,1005.6273995349442,112.5571279101282,12.603389843594986,835.8628546939339,952.842724377405,116.97986968347118,13.995103266827842
